Population,ID,Sex,Mom_ID,Litter,Treatment,Pred_Tutor,Pred,Tutor_pop,Birth Day,Day,Date,Time,Water,Weight,Run,Latency,Attempts,Notes
AH,AHF2_1P3G.2.1,dead,AHF2_1P3G,2,pred-/same,pred-/AH,pred-,AH,4-Jan,1,19-Feb,16:00,pred-,0.096,1,50,7,
AH,AHF2_1P3G.2.1,dead,AHF2_1P3G,2,pred-/same,pred-/AH,pred-,AH,4-Jan,2,20-Feb,15:19,pred+,0.096,1,101,2,day 1 video cut short 
AH,AHF2_1G4G.3.3,F,AHF2_1G4G,3,pred-/same,pred-/AH,pred-,AH,2-Feb,2,22-Mar,15:47,pred-,0.133,1,16,17,
AH,AHF2_1G4G.3.3,F,AHF2_1G4G,3,pred-/same,pred-/AH,pred-,AH,2-Feb,1,21-Mar,15:06,pred+,0.133,1,73,99,
AH,AHF2_1G4G.6.2,F,AHF2_1G4G,6,pred-/same,pred-/AH,pred-,AH,14-Aug,1,29-Sep,15:17,pred-,0.144,1,35,166,first few in middle
AH,AHF2_1G4G.6.2,F,AHF2_1G4G,6,pred-/same,pred-/AH,pred-,AH,14-Aug,2,30-Sep,15:06,pred+,0.144,1,58,7,
AH,AHF2_1G4P.2.1,F,AHF2_1G4P,2,pred-/same,pred-/AH,pred-,AH,15-Jan,1,2-Mar,15:30,pred+,0.128,1,39,55,
AH,AHF2_1G4P.2.1,F,AHF2_1G4P,2,pred-/same,pred-/AH,pred-,AH,15-Jan,2,3-Mar,16:04,pred-,0.128,1,310,72,
AH,AHF2_1G4P.5.4,F,AHF2_1G4P,5,pred-/same,pred-/AH,pred-,AH,30-Mar,1,15-May,16:18,pred-,0.128,1,194,11,
AH,AHF2_1G4P.5.4,F,AHF2_1G4P,5,pred-/same,pred-/AH,pred-,AH,30-Mar,2,16-May,9:58,pred+,0.128,1,69,12,
AH,AHF2_1O3Y.2.2,F,AHF2_1O3Y,2,pred-/same,pred-/AH,pred-,AH,1-Apr,1,NA,NA,pred-,0.088,3,600,0,didn't eat
AH,AHF2_1O3Y.2.2,F,AHF2_1O3Y,2,pred-/same,pred-/AH,pred-,AH,1-Apr,2,NA,NA,pred+,0.088,NA,NA,NA,not tested
AH,AHF2_1O3Y.4.7,F,AHF2_1O3Y,4,pred-/same,pred-/AH,pred-,AH,18-May,1,3-Jul,15:55,pred+,0.135,1,11,5,
AH,AHF2_1O3Y.4.7,F,AHF2_1O3Y,4,pred-/same,pred-/AH,pred-,AH,18-May,2,5-Jul,16:40,pred-,0.135,2,68,2,"didn't eat 7/4, s wimming frantically"
AH,AHF2_1O3Y.5.1,F,AHF2_1O3Y,5,pred-/same,pred-/AH,pred-,AH,10-Jun,1,29-Jul,15:03,pred-,0.106,1,50,131,all at bottom very active may have started sooner pecking in water column but dind't count
AH,AHF2_1O3Y.5.1,F,AHF2_1O3Y,5,pred-/same,pred-/AH,pred-,AH,10-Jun,2,30-Jul,14:58,pred+,0.106,1,5,44,
AH,AHF2_1O3Y.5.2,F,AHF2_1O3Y,5,pred-/same,pred-/AH,pred-,AH,10-Jun,1,29-Jul,15:23,pred+,0.109,1,62,3,swimming around a lot
AH,AHF2_1O3Y.5.2,F,AHF2_1O3Y,5,pred-/same,pred-/AH,pred-,AH,10-Jun,2,30-Jul,14:39,pred-,0.109,1,33,40,first 2 at bottom
AH,AHF2_1P3G.4.1,F,AHF2_1P3G,4,pred-/same,pred-/AH,pred-,AH,17-Jun,1,2-Aug,16:50,pred+,0.106,1,354,26,
AH,AHF2_1P3G.4.1,F,AHF2_1P3G,4,pred-/same,pred-/AH,pred-,AH,17-Jun,2,3-Aug,15:03,pred-,0.106,1,43,39,
AH,AHF2_1P3G.5.10,F,AHF2_1P3G,5,pred-/same,pred-/AH,pred-,AH,11-Jul,1,26-Aug,15:09,pred-,0.114,1,16,2,first peckat bottom
AH,AHF2_1P3G.5.10,F,AHF2_1P3G,5,pred-/same,pred-/AH,pred-,AH,11-Jul,2,27-Aug,15:06,pred+,0.114,1,12,8,
AH,AHF2_1P3G.6.1,F,AHF2_1P3G,6,pred-/same,pred-/AH,pred-,AH,6-Aug,1,22-Sep,15:34,pred+,0.135,2,119,8,didn't eat 9/21
AH,AHF2_1P3G.6.1,F,AHF2_1P3G,6,pred-/same,pred-/AH,pred-,AH,6-Aug,2,23-Sep,16:00,pred-,0.135,1,298,4,
AH,AHF2_1P3G.6.2,F,AHF2_1P3G,6,pred-/same,pred-/AH,pred-,AH,6-Aug,1,21-Sep,15:18,pred-,0.188,1,127,45,only pecked at middle and at bottom
AH,AHF2_1P3G.6.2,F,AHF2_1P3G,6,pred-/same,pred-/AH,pred-,AH,6-Aug,2,22-Sep,15:14,pred+,0.188,1,412,32,at top
AH,AHF2_1Y2G.4.2,F,AHF2_1Y2G,4,pred-/same,pred-/AH,pred-,AH,24-Jul,1,8-Sep,14:17,pred+,0.082,1,160,5,
AH,AHF2_1Y2G.4.2,F,AHF2_1Y2G,4,pred-/same,pred-/AH,pred-,AH,24-Jul,2,9-Sep,14:59,pred-,0.082,1,96,44,
AH,AHF2_1Y2P.3.1,F,AHF2_1Y2P,3,pred-/same,pred-/AH,pred-,AH,10-Jan,1,25-Feb,16:10,pred+,0.103,1,147,11,
AH,AHF2_1Y2P.3.1,F,AHF2_1Y2P,3,pred-/same,pred-/AH,pred-,AH,10-Jan,2,26-Feb,15:26,pred-,0.103,1,34,26,
AH,AHF2_1Y2P.5.4,F,AHF2_1Y2P,5,pred-/same,pred-/AH,pred-,AH,9-Mar,1,26-Apr,17:09,pred-,0.143,1,23,54,
AH,AHF2_1Y2P.5.4,F,AHF2_1Y2P,5,pred-/same,pred-/AH,pred-,AH,9-Mar,2,27-Apr,15:26,pred+,0.143,1,15,24,
AH,AHF2_1Y2P.6.1,F,AHF2_1Y2P,6,pred-/same,pred-/AH,pred-,AH,31-Jul,1,15-Sep,15:47,pred-,0.201,1,47,7,
AH,AHF2_1Y2P.6.1,F,AHF2_1Y2P,6,pred-/same,pred-/AH,pred-,AH,31-Jul,2,16-Sep,14:45,pred+,0.201,1,215,4,
AH,AHF2_1Y2P.6.2,F,AHF2_1Y2P,6,pred-/same,pred-/AH,pred-,AH,31-Jul,1,15-Sep,15:52,pred+,0.148,1,59,31,
AH,AHF2_1Y2P.6.2,F,AHF2_1Y2P,6,pred-/same,pred-/AH,pred-,AH,31-Jul,2,16-Sep,14:52,pred-,0.148,1,368,3,
AH,AHF2_1Y3O.1.4,F,AHF2_1Y3O,1,pred-/same,pred-/AH,pred-,AH,7-Dec,1,22-Jan,15:17,pred-,0.089,1,46,77,
AH,AHF2_1Y3O.1.4,F,AHF2_1Y3O,1,pred-/same,pred-/AH,pred-,AH,7-Dec,2,23-Jan,15:00,pred+,0.089,1,40,40,
AH,AHF2_1Y3O.2.1,F,AHF2_1Y3O,2,pred-/same,pred-/AH,pred-,AH,6-Jan,1,21-Feb,15:42,pred+,0.094,1,53,112,
AH,AHF2_1Y3O.2.1,F,AHF2_1Y3O,2,pred-/same,pred-/AH,pred-,AH,6-Jan,2,22-Feb,14:30,pred-,0.094,1,78,80,
AH,AHF2_1Y3O.5.1,F,AHF2_1Y3O,5,pred-/same,pred-/AH,pred-,AH,18-Apr,1,3-Jun,16:00,pred-,0.164,1,82,8,bottom
